antecedents,consequents,antecedent support,consequent support,support,confidence,lift
frozenset({' Door '}),frozenset({'Basin'}),0.361111111,0.805555556,0.361111111,1,1.24137931
frozenset({' Door '}),frozenset({'Bed'}),0.361111111,0.777777778,0.361111111,1,1.285714286
frozenset({' Door '}),frozenset({'Fridge'}),0.361111111,0.944444444,0.361111111,1,1.058823529
frozenset({' Door '}),frozenset({'Maindoor'}),0.361111111,0.638888889,0.333333333,0.923076923,1.444816054
frozenset({' Door '}),frozenset({'Seat'}),0.361111111,0.916666667,0.361111111,1,1.090909091
frozenset({' Door '}),frozenset({'Toilet'}),0.361111111,0.916666667,0.361111111,1,1.090909091
frozenset({' Maindoor '}),frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({' Maindoor '}),frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
frozenset({' Maindoor '}),frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
frozenset({' Maindoor '}),frozenset({'Seat'}),0.222222222,0.916666667,0.222222222,1,1.090909091
frozenset({' Maindoor '}),frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
frozenset({'Door'}),frozenset({'Basin'}),0.222222222,0.805555556,0.222222222,1,1.24137931
frozenset({'Basin'}),frozenset({'Fridge'}),0.805555556,0.944444444,0.805555556,1,1.058823529
frozenset({'Basin'}),frozenset({'Seat'}),0.805555556,0.916666667,0.777777778,0.965517241,1.053291536
frozenset({'Basin'}),frozenset({'Toilet'}),0.805555556,0.916666667,0.777777778,0.965517241,1.053291536
frozenset({'Door'}),frozenset({'Bed'}),0.222222222,0.777777778,0.222222222,1,1.285714286
frozenset({'Bed'}),frozenset({'Fridge'}),0.777777778,0.944444444,0.777777778,1,1.058823529
frozenset({'Bed'}),frozenset({'Seat'}),0.777777778,0.916666667,0.75,0.964285714,1.051948052
frozenset({'Bed'}),frozenset({'Toilet'}),0.777777778,0.916666667,0.75,0.964285714,1.051948052
frozenset({'Cabinet'}),frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
frozenset({'Cabinet'}),frozenset({'Fridge'}),0.305555556,0.944444444,0.305555556,1,1.058823529
frozenset({'Cabinet'}),frozenset({'Microwave'}),0.305555556,0.583333333,0.305555556,1,1.714285714
frozenset({'Cabinet'}),frozenset({'Seat'}),0.305555556,0.916666667,0.305555556,1,1.090909091
frozenset({'Cabinet'}),frozenset({'Shower'}),0.305555556,0.694444444,0.305555556,1,1.44
frozenset({'Cabinet'}),frozenset({'Toaster'}),0.305555556,0.361111111,0.305555556,1,2.769230769
frozenset({'Cabinet'}),frozenset({'Toilet'}),0.305555556,0.916666667,0.277777778,0.909090909,0.991735537
frozenset({'Cooktop'}),frozenset({'Cupboard'}),0.305555556,0.666666667,0.305555556,1,1.5
frozenset({'Cooktop'}),frozenset({'Fridge'}),0.305555556,0.944444444,0.305555556,1,1.058823529
frozenset({'Cooktop'}),frozenset({'Microwave'}),0.305555556,0.583333333,0.305555556,1,1.714285714
frozenset({'Cooktop'}),frozenset({'Seat'}),0.305555556,0.916666667,0.305555556,1,1.090909091
frozenset({'Cooktop'}),frozenset({'Shower'}),0.305555556,0.694444444,0.305555556,1,1.44
frozenset({'Cooktop'}),frozenset({'Toaster'}),0.305555556,0.361111111,0.305555556,1,2.769230769
frozenset({'Cooktop'}),frozenset({'Toilet'}),0.305555556,0.916666667,0.277777778,0.909090909,0.991735537
frozenset({'Cupboard'}),frozenset({'Fridge'}),0.666666667,0.944444444,0.666666667,1,1.058823529
frozenset({'Microwave'}),frozenset({'Cupboard'}),0.583333333,0.666666667,0.555555556,0.952380952,1.428571429
frozenset({'Cupboard'}),frozenset({'Seat'}),0.666666667,0.916666667,0.666666667,1,1.090909091
frozenset({'Toaster'}),frozenset({'Cupboard'}),0.361111111,0.666666667,0.361111111,1,1.5
frozenset({'Cupboard'}),frozenset({'Toilet'}),0.666666667,0.916666667,0.638888889,0.958333333,1.045454545
frozenset({'Door'}),frozenset({'Fridge'}),0.222222222,0.944444444,0.222222222,1,1.058823529
frozenset({'Door'}),frozenset({'Toilet'}),0.222222222,0.916666667,0.222222222,1,1.090909091
frozenset({'Maindoor'}),frozenset({'Fridge'}),0.638888889,0.944444444,0.638888889,1,1.058823529
frozenset({'Microwave'}),frozenset({'Fridge'}),0.583333333,0.944444444,0.583333333,1,1.058823529
frozenset({'Seat'}),frozenset({'Fridge'}),0.916666667,0.944444444,0.916666667,1,1.058823529
frozenset({'Fridge'}),frozenset({'Seat'}),0.944444444,0.916666667,0.916666667,0.970588235,1.058823529
frozenset({'Shower'}),frozenset({'Fridge'}),0.694444444,0.944444444,0.694444444,1,1.058823529
frozenset({'Toaster'}),frozenset({'Fridge'}),0.361111111,0.944444444,0.361111111,1,1.058823529
frozenset({'Fridge'}),frozenset({'Toilet'}),0.944444444,0.916666667,0.916666667,0.970588235,1.058823529
